V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t123	0.001	0.011	0.018	0.119	0.16	0	0.133	0.014	0	0	0.127	0.078	0	0	0.005	0.005	0	0.027	0.001	0.001	0.005	0.094	0.023	0.001	0.003	0.1	0.022	0.002	0.051	0
t34	0.01	0.002	0.021	0.012	0.045	0.239	0.006	0.016	0.007	0.006	0.088	0.008	0.026	0.003	0.048	0.005	0.009	0.003	0.113	0.027	0.142	0.009	0.043	0.004	0.019	0.028	0.013	0.017	0.013	0.021
t132	0.004	0.009	0.028	0.04	0.115	0.045	0.013	0.03	0.003	0.008	0.197	0.021	0.017	0.006	0.06	0.007	0.009	0.005	0.081	0.022	0.06	0.015	0.062	0.008	0.026	0.04	0.02	0.011	0.02	0.019
t66	0.003	0.002	0.034	0.043	0.141	0.071	0.021	0.036	0.002	0.006	0.187	0.054	0.006	0.001	0.041	0.008	0.004	0.005	0.034	0.015	0.03	0.016	0.062	0.004	0.036	0.062	0.026	0.009	0.032	0.008
t162	0.006	0.029	0.023	0.052	0.13	0.006	0.024	0.009	0.001	0.001	0.174	0.025	0.001	0.001	0.013	0.006	0.003	0.01	0.02	0.01	0.018	0.198	0.032	0.003	0.01	0.131	0.017	0.017	0.028	0.002
t96	0.004	0.01	0.029	0.044	0.133	0.042	0.015	0.028	0.003	0.006	0.212	0.027	0.009	0.004	0.046	0.007	0.008	0.006	0.063	0.02	0.037	0.026	0.059	0.007	0.029	0.057	0.021	0.013	0.021	0.013
t43	0.002	0.048	0.019	0.074	0.165	0.002	0.024	0.012	0.001	0.001	0.217	0.032	0.001	0.001	0.013	0.006	0.003	0.01	0.015	0.007	0.008	0.146	0.031	0.004	0.011	0.1	0.015	0.009	0.022	0.002
t182	0.004	0.004	0.037	0.06	0.144	0.018	0.053	0.027	0.001	0.001	0.166	0.057	0.003	0	0.024	0.009	0.002	0.013	0.016	0.01	0.046	0.042	0.055	0.002	0.014	0.094	0.032	0.008	0.054	0.003
t3	0.019	0.007	0.022	0.014	0.059	0.194	0.005	0.008	0.008	0.003	0.115	0.009	0.008	0.003	0.028	0.005	0.012	0.003	0.116	0.03	0.061	0.063	0.035	0.004	0.023	0.068	0.012	0.042	0.013	0.011
t37	0.016	0.009	0.023	0.017	0.058	0.118	0.007	0.012	0.008	0.004	0.117	0.007	0.021	0.005	0.044	0.005	0.013	0.004	0.136	0.031	0.137	0.027	0.044	0.006	0.017	0.042	0.013	0.027	0.014	0.019
t28	0.017	0.015	0.029	0.03	0.093	0.048	0.015	0.012	0.004	0.002	0.153	0.015	0.007	0.002	0.027	0.007	0.008	0.007	0.068	0.023	0.08	0.095	0.044	0.004	0.015	0.098	0.018	0.031	0.025	0.007
t109	0.003	0.017	0.026	0.065	0.169	0.008	0.025	0.016	0.001	0.002	0.22	0.04	0.002	0.001	0.02	0.007	0.004	0.009	0.022	0.01	0.014	0.087	0.042	0.004	0.017	0.105	0.02	0.012	0.03	0.003
t92	0.016	0.002	0.019	0.009	0.031	0.26	0.005	0.011	0.008	0.003	0.062	0.005	0.025	0.002	0.038	0.004	0.007	0.002	0.1	0.024	0.225	0.009	0.035	0.003	0.012	0.025	0.011	0.017	0.013	0.016
t125	0.011	0.003	0.023	0.018	0.043	0.058	0.017	0.02	0.004	0.002	0.071	0.007	0.031	0.002	0.042	0.005	0.004	0.007	0.056	0.017	0.411	0.006	0.047	0.002	0.007	0.024	0.018	0.008	0.023	0.013
t156	0.005	0.005	0.035	0.05	0.136	0.036	0.031	0.028	0.002	0.003	0.18	0.038	0.006	0.001	0.034	0.009	0.004	0.01	0.033	0.015	0.054	0.035	0.059	0.004	0.02	0.084	0.028	0.012	0.039	0.006
t69	0.021	0.016	0.024	0.021	0.069	0.076	0.008	0.01	0.007	0.002	0.131	0.007	0.013	0.004	0.033	0.006	0.012	0.005	0.119	0.031	0.116	0.055	0.042	0.005	0.015	0.067	0.014	0.038	0.017	0.013
t145	0.003	0.049	0.024	0.072	0.154	0.005	0.022	0.021	0.001	0.003	0.241	0.02	0.006	0.005	0.035	0.007	0.006	0.009	0.042	0.014	0.031	0.043	0.051	0.008	0.013	0.057	0.019	0.01	0.022	0.008
t172	0.008	0.007	0.032	0.036	0.102	0.058	0.018	0.024	0.004	0.004	0.166	0.02	0.013	0.003	0.047	0.008	0.007	0.007	0.068	0.022	0.099	0.026	0.06	0.005	0.019	0.057	0.023	0.015	0.027	0.013
t180	0.009	0.006	0.037	0.05	0.111	0.02	0.048	0.022	0.002	0.001	0.145	0.029	0.006	0.001	0.028	0.009	0.003	0.015	0.026	0.013	0.12	0.046	0.056	0.002	0.01	0.086	0.03	0.011	0.052	0.004
t30	0.001	0.008	0.027	0.113	0.178	0.001	0.093	0.039	0	0.001	0.176	0.06	0.002	0	0.019	0.007	0.001	0.02	0.006	0.005	0.021	0.02	0.049	0.002	0.007	0.061	0.031	0.002	0.048	0.002
