feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t43	0.101	0.026	0.045	0.011	0.013	0.005	0.182	0.032	0.002	0.034	0.06	0.069	0.015	0.017	0.002	0.033	0.023	0.024	0.026	0.021	0.051	0.017	0.005	0.005	0.027	0.046	0.065	0.009	0.015	0.015
t26	0.008	0.093	0.028	0.055	0.013	0.049	0.01	0.073	0.034	0.014	0.063	0.002	0.025	0.044	0.023	0.021	0.053	0.029	0.03	0.039	0.076	0.021	0.032	0.045	0.047	0.025	0.012	0.019	0.004	0.015
t16	0.005	0.057	0.024	0.035	0.001	0.001	0.154	0.037	0.047	0.017	0.08	0.004	0.025	0.021	0.007	0.01	0.006	0.022	0.024	0.018	0.017	0.037	0.097	0.026	0.099	0.012	0.037	0.046	0.011	0.024
t45	0.064	0.01	0.013	0.036	0.024	0.098	0.034	0.013	0.006	0.029	0.059	0.074	0.06	0.054	0.007	0.012	0.041	0.022	0.022	0.024	0.013	0.033	0.069	0.049	0.027	0.038	0.011	0.011	0.019	0.029
t38	0.025	0.098	0.012	0.034	0.053	0.064	0.022	0.023	0	0.029	0.024	0.027	0.025	0.026	0.008	0.031	0.008	0.027	0.025	0.02	0.005	0.02	0.04	0.037	0.059	0.041	0.052	0.015	0.075	0.075
t46	0.03	0.03	0.013	0.008	0.002	0.061	0.022	0.011	0.001	0.019	0.018	0.066	0.034	0.01	0.005	0.007	0.008	0.02	0.018	0.01	0.005	0.034	0.072	0.018	0.261	0.034	0.016	0.004	0.151	0.013
t35	0.013	0.02	0.039	0.014	0	0.007	0.062	0.032	0.002	0.016	0.046	0.392	0.023	0.015	0.009	0.018	0.001	0.015	0.015	0.013	0.014	0.025	0.064	0.029	0.003	0.012	0.021	0.006	0.064	0.012
t36	0.023	0.069	0.006	0.014	0.066	0.011	0.012	0.034	0.002	0.016	0.025	0.001	0.022	0.034	0.008	0.021	0.022	0.027	0.021	0.017	0.009	0.04	0.16	0.043	0.017	0.025	0.036	0.005	0.188	0.027
t15	0.052	0.02	0.052	0.01	0.198	0.033	0.037	0.017	0.01	0.015	0.007	0.056	0.022	0.026	0.009	0.003	0.247	0.015	0.016	0.016	0.021	0.025	0.029	0.012	0.005	0.013	0.009	0.006	0.005	0.015
t10	0.034	0.007	0.044	0.018	0.101	0.029	0.122	0.048	0.024	0.02	0.038	0.001	0.036	0.016	0.014	0.003	0.055	0.018	0.018	0.024	0.039	0.028	0.13	0.015	0.029	0.021	0.046	0.007	0.003	0.011
t14	0.009	0.025	0.048	0.02	0.03	0.014	0.007	0.014	0.003	0.018	0.047	0.206	0.029	0.033	0.009	0.019	0.003	0.016	0.02	0.015	0.004	0.022	0.142	0.065	0.05	0.022	0.003	0.012	0.088	0.008
t25	0.031	0.034	0.013	0.014	0.004	0.015	0.064	0.023	0.024	0.026	0.017	0.004	0.04	0.07	0.018	0.046	0.008	0.023	0.022	0.019	0.009	0.036	0.256	0.026	0.009	0.03	0.053	0.012	0.028	0.026
t33	0.112	0.027	0.036	0.026	0.01	0.029	0.152	0.021	0.009	0.017	0.031	0.005	0.035	0.042	0.013	0.016	0.07	0.022	0.029	0.014	0.104	0.018	0.004	0.034	0.014	0.025	0.009	0.05	0.014	0.013
t9	0.019	0.019	0.019	0.031	0.007	0.165	0.068	0.016	0.003	0.022	0.009	0.006	0.02	0.042	0.027	0.043	0.042	0.017	0.019	0.016	0.005	0.017	0.073	0.042	0.004	0.026	0.025	0.014	0.173	0.01
t27	0.003	0.009	0.022	0.01	0.004	0.008	0.045	0.004	0.001	0.028	0.016	0.402	0.011	0.033	0.01	0.011	0.007	0.017	0.016	0.019	0.005	0.015	0.178	0.02	0.003	0.015	0.02	0.004	0.051	0.012
t23	0.009	0.18	0.006	0.035	0.013	0.043	0.019	0.019	0.002	0.043	0.024	0.023	0.045	0.026	0.013	0.014	0.016	0.027	0.022	0.014	0.01	0.022	0.16	0.014	0.027	0.036	0.012	0.014	0.105	0.006
t4	0.022	0.03	0.004	0.022	0.088	0.056	0.006	0.032	0.009	0.011	0.017	0.033	0.017	0.016	0.005	0.012	0.004	0.013	0.014	0.018	0.02	0.027	0.217	0.02	0.192	0.041	0.022	0.009	0.017	0.006
t41	0.015	0.108	0.002	0.023	0.004	0.018	0.027	0.043	0.007	0.016	0.04	0.007	0.02	0.017	0.011	0.008	0.085	0.014	0.016	0.012	0.004	0.016	0.101	0.017	0.259	0.022	0.011	0.006	0.055	0.016
t6	0.052	0.028	0.027	0.017	0.003	0.001	0.016	0.016	0.005	0.027	0.025	0.036	0.032	0.016	0.01	0.019	0.023	0.032	0.026	0.037	0.054	0.013	0.169	0.01	0.109	0.027	0.012	0.074	0.002	0.082
t24	0.035	0.027	0.008	0.019	0.018	0.003	0.066	0.122	0.027	0.01	0.063	0.009	0.036	0.022	0.028	0.02	0.083	0.029	0.032	0.04	0.077	0.053	0.012	0.038	0.002	0.02	0.027	0.04	0.004	0.029
t39	0.107	0.022	0.019	0.015	0.007	0.013	0.022	0.05	0.008	0.019	0.016	0	0.021	0.026	0.011	0.007	0.408	0.018	0.016	0.019	0.049	0.011	0.012	0.012	0.009	0.013	0.005	0.02	0.025	0.019
t42	0.012	0.018	0.042	0.018	0.002	0.005	0.01	0.182	0.023	0.028	0.021	0.032	0.013	0.011	0.028	0.02	0.004	0.023	0.025	0.016	0.054	0.031	0.031	0.009	0.01	0.019	0.057	0.183	0.004	0.071
t1	0.07	0.004	0.011	0.023	0.025	0.003	0.021	0.038	0.016	0.059	0.061	0.009	0.03	0.016	0.076	0.026	0.016	0.027	0.028	0.026	0.169	0.062	0.015	0.009	0.014	0.022	0.015	0.064	0.029	0.016
t40	0.019	0.021	0.003	0.017	0.049	0.035	0.005	0.006	0.009	0.015	0.021	0.237	0.008	0.012	0.005	0.006	0.007	0.009	0.011	0.01	0.004	0.012	0.161	0.04	0.136	0.024	0.028	0.004	0.078	0.007
t47	0.013	0.005	0.006	0.02	0.097	0.117	0.048	0.015	0.031	0.02	0.012	0.024	0.014	0.022	0.003	0.005	0.006	0.017	0.014	0.015	0.004	0.009	0.17	0.027	0.017	0.048	0.011	0.003	0.206	0.003
t8	0.007	0.012	0.041	0.035	0.005	0.018	0.094	0.019	0.016	0.015	0.054	0.383	0.01	0.034	0.008	0.003	0.017	0.016	0.015	0.012	0.021	0.012	0.019	0.02	0.063	0.014	0.007	0.012	0.006	0.012
t30	0.011	0.037	0.002	0.017	0.001	0.013	0.013	0.011	0.003	0.014	0.011	0.054	0.002	0.013	0.001	0.003	0.002	0.009	0.007	0.01	0.001	0.016	0.022	0.023	0.614	0.009	0.05	0.002	0.024	0.003
t12	0.006	0.032	0.002	0.013	0.002	0.004	0.01	0.024	0.018	0.009	0.028	0.003	0.008	0.014	0.004	0.008	0.015	0.007	0.008	0.004	0.001	0.022	0.016	0.01	0.696	0.013	0.009	0.004	0.006	0.003
t17	0.024	0.074	0.077	0.022	0.006	0.006	0.049	0.065	0.052	0.011	0.023	0.003	0.035	0.017	0.003	0.015	0.165	0.02	0.024	0.032	0.086	0.016	0.015	0.021	0.008	0.012	0.012	0.058	0.023	0.025
t13	0.419	0.018	0.009	0.039	0.04	0.001	0.026	0.013	0.007	0.013	0.024	0.004	0.007	0.011	0.013	0.008	0.037	0.014	0.018	0.02	0.04	0.02	0.007	0.007	0.011	0.016	0.02	0.064	0.062	0.01
t31	0.005	0.035	0.006	0.023	0.023	0.023	0.039	0.02	0.071	0.032	0.009	0.001	0.019	0.018	0.013	0.011	0.092	0.014	0.015	0.015	0.008	0.015	0.1	0.016	0.109	0.051	0.011	0.013	0.18	0.012
t37	0.017	0.088	0.045	0.02	0.079	0.007	0.024	0.021	0.003	0.032	0.014	0.005	0.032	0.012	0.031	0.016	0.019	0.03	0.029	0.031	0.08	0.026	0.034	0.018	0.061	0.035	0.031	0.109	0.012	0.04
t18	0.079	0.056	0.017	0.053	0.018	0.039	0.04	0.046	0.129	0.04	0.043	0.006	0.014	0.025	0.015	0.01	0.003	0.03	0.034	0.016	0.067	0.026	0.02	0.015	0.055	0.019	0.007	0.017	0.022	0.039
t7	0.2	0.052	0.021	0.031	0.006	0.064	0.036	0.028	0.038	0.027	0.037	0.005	0.027	0.019	0.027	0.006	0.037	0.026	0.028	0.009	0.041	0.025	0.01	0.015	0.028	0.042	0.05	0.011	0.022	0.031
t49	0.03	0.022	0.038	0.013	0.007	0.047	0.034	0.063	0.058	0.018	0.047	0	0.035	0.033	0.006	0.021	0.001	0.025	0.029	0.022	0.107	0.032	0.016	0.052	0.029	0.044	0.124	0.022	0.006	0.019
t22	0.047	0.108	0.034	0.009	0.007	0.027	0.056	0.022	0.27	0.028	0.052	0.002	0.008	0.015	0.009	0.01	0.046	0.018	0.018	0.018	0.043	0.023	0.018	0.005	0.011	0.013	0.02	0.023	0.009	0.032
t21	0.03	0.051	0.021	0.026	0.004	0.011	0.007	0.156	0.006	0.032	0.025	0.002	0.029	0.026	0.043	0.009	0.123	0.02	0.023	0.035	0.07	0.021	0.013	0.006	0.008	0.022	0.036	0.056	0.073	0.017
t48	0.044	0.016	0.011	0.032	0.224	0.001	0.107	0.032	0.038	0.059	0.023	0.014	0.019	0.02	0.018	0.004	0.027	0.022	0.023	0.015	0.075	0.024	0.005	0.013	0.011	0.025	0.039	0.032	0.003	0.023
t3	0.046	0.009	0.023	0.018	0.018	0.002	0.262	0.017	0.011	0.022	0.007	0.007	0.011	0.031	0.097	0.005	0.091	0.015	0.019	0.017	0.123	0.024	0.01	0.014	0.015	0.014	0.019	0.027	0.003	0.024
t28	0.009	0.017	0.017	0.024	0.03	0.03	0.055	0.114	0.011	0.021	0.026	0.002	0.015	0.027	0.13	0.008	0.027	0.025	0.025	0.035	0.118	0.014	0.006	0.015	0.016	0.043	0.043	0.038	0.015	0.043
t34	0.014	0.02	0.033	0.013	0.06	0.002	0.204	0.015	0.027	0.034	0.009	0.008	0.05	0.017	0.026	0.019	0.013	0.023	0.021	0.011	0.038	0.018	0.06	0.011	0.096	0.011	0.009	0.113	0.007	0.019
t50	0.023	0.025	0.017	0.026	0.145	0.001	0.026	0.01	0.009	0.056	0.038	0.017	0.021	0.012	0.013	0.01	0.035	0.023	0.021	0.014	0.053	0.025	0.084	0.01	0.059	0.019	0.022	0.166	0.011	0.01
t29	0.07	0.023	0.075	0.031	0.024	0.006	0.021	0.012	0.077	0.019	0.084	0.015	0.029	0.023	0.02	0.012	0.079	0.022	0.024	0.018	0.074	0.047	0.003	0.005	0.026	0.019	0.05	0.065	0.002	0.02
t32	0.012	0.044	0.037	0.047	0.008	0.024	0.03	0.023	0.056	0.061	0.11	0.013	0.013	0.046	0.025	0.005	0.021	0.022	0.029	0.027	0.125	0.032	0.006	0.018	0.052	0.035	0.008	0.024	0.005	0.044
t19	0.023	0.012	0.021	0.039	0.005	0.006	0.117	0.054	0.015	0.016	0.039	0.018	0.026	0.062	0.049	0.006	0.042	0.032	0.027	0.037	0.022	0.022	0.083	0.06	0.009	0.031	0.058	0.021	0.027	0.022
t11	0.011	0.012	0.095	0.026	0.016	0.043	0.137	0.041	0.005	0.009	0.094	0.015	0.03	0.037	0.019	0.005	0.051	0.029	0.024	0.024	0.045	0.03	0.008	0.043	0.02	0.021	0.02	0.04	0.04	0.009
t2	0.013	0.038	0.005	0.013	0.021	0.073	0.008	0.014	0.043	0.028	0.02	0.093	0.023	0.023	0.01	0.011	0.003	0.017	0.014	0.01	0.007	0.017	0.13	0.034	0.142	0.058	0.007	0.006	0.113	0.007
t20	0.003	0.05	0.005	0.008	0.039	0.007	0.014	0.02	0.118	0.022	0.008	0.085	0.007	0.01	0.005	0.005	0.029	0.011	0.008	0.011	0.002	0.008	0.199	0.019	0.024	0.02	0.005	0.002	0.251	0.004
