group	sample	color
group1	t15	green
group1	t22	green
group1	t27	green
group1	t3	green
group1	t31	green
group1	t33	green
group1	t34	green
group1	t37	green
group1	t49	green
group1	t50	green
group1	t8	green
group1	t9	green
group2	t1	purple
group2	t10	purple
group2	t11	purple
group2	t12	purple
group2	t13	purple
group2	t14	purple
group2	t16	purple
group2	t17	purple
group2	t18	purple
group2	t19	purple
group2	t2	purple
group2	t20	purple
group2	t21	purple
group2	t23	purple
group2	t24	purple
group2	t25	purple
group2	t26	purple
group2	t28	purple
group2	t29	purple
group2	t30	purple
group2	t32	purple
group2	t35	purple
group2	t36	purple
group2	t38	purple
group2	t39	purple
group2	t4	purple
group2	t40	purple
group2	t41	purple
group2	t42	purple
group2	t43	purple
group2	t44	purple
group2	t45	purple
group2	t46	purple
group2	t47	purple
group2	t48	purple
group2	t5	purple
group2	t6	purple
group2	t7	purple
