group	sample	color
group1	t44	orange
group1	t29	orange
group1	t45	orange
group1	t27	orange
group1	t40	orange
group1	t19	orange
group1	t17	orange
group1	t30	orange
group1	t24	orange
group1	t36	orange
group1	t42	orange
group1	t18	orange
group1	t23	orange
group1	t12	orange
group1	t14	orange
group1	t7	orange
group1	t25	orange
group1	t38	orange
group1	t35	orange
group1	t43	orange
group2	t46	blue
group2	t49	blue
group2	t11	blue
group2	t26	blue
group2	t32	blue
group2	t22	blue
group2	t41	blue
group2	t16	blue
group2	t20	blue
group2	t28	blue
group2	t9	blue
group2	t37	blue
group2	t5	blue
group2	t39	blue
group2	t48	blue
group2	t4	blue
group2	t10	blue
group2	t21	blue
group2	t1	blue
group2	t8	blue
group2	t33	blue
group2	t50	blue
group2	t34	blue
group2	t31	blue
group2	t2	blue
group2	t13	blue
group2	t6	blue
group2	t47	blue
group2	t15	blue
group2	t3	blue
