feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t38	0.505	0.145	1.497	-0.14	-1.357	0.649	-0.795	-0.504	-0.837	-1.257	0.24	1.247	-0.317	-0.68	-0.448	0.161	-0.06	-0.666	0.008	0.063	0.491	-0.971	0.465	0.33	-1.655	3.691	0.189	-0.023	0.948	-0.919
t37	1.596	-1.983	0.953	-0.213	0.533	-0.452	1.815	-1.077	0.146	-4.022	0.164	-2.788	1.057	0.408	0.184	0.799	2.219	0.384	-0.322	0.965	0.415	2.029	-0.225	-0.102	-0.002	-0.864	0.44	-0.167	-0.613	-1.276
t48	-0.341	-1.382	0.299	-0.346	-1.326	-0.466	1.739	1.91	1.235	-0.436	-0.33	-1.166	-0.174	-0.253	0.682	-1.572	-0.464	-0.21	0.178	2.247	-0.461	-0.336	0.014	-0.017	-0.537	0.778	0.173	0.222	-0.269	0.61
t34	0.701	-2.424	-0.988	-0.489	0.825	-0.603	1.498	0.555	-0.03	-2.139	0.208	-1.65	-0.081	-0.94	-0.421	-0.428	1.387	0.355	0.86	-0.428	0.55	0.568	-0.023	0.226	0.693	2.184	0.356	0.363	0.139	-0.826
t30	-0.53	-0.629	0.897	0.563	1.391	-0.179	2.186	-0.698	0.884	-2.432	-0.486	-3.34	1.108	0.323	-1.249	1.963	0.217	0.127	0.334	0.166	0.73	0.494	-0.142	-1.083	0.493	0.461	-0.188	-0.217	0.109	-1.274
t11	-0.236	2.14	1.634	-0.052	0.324	-1.715	0.342	-1.017	0.599	-2.656	-0.679	-1.409	1.378	-0.753	0.492	-0.488	0.833	-0.099	-0.134	0.926	-0.719	1.698	-0.443	-0.247	1.672	0.41	0.015	-0.195	-0.782	-0.84
t41	-0.812	0.683	-0.368	-0.024	-2.946	0.249	2.142	0.974	1.402	-2.06	-0.11	-2.856	0.927	0.101	-0.036	0.817	0.893	-0.19	-0.49	-0.32	0.641	2.263	0.339	0.175	0.72	-1.819	0.34	0.023	-0.165	-0.494
t13	-0.868	-1.731	-0.463	-0.656	-1.227	-0.604	0.136	2.322	0.1	-0.919	0.94	-0.342	-0.186	1.287	2.053	-1.038	-0.028	-0.288	-0.053	0.356	-1.515	0.16	-0.212	0.007	0.513	1.47	0.369	-0.47	1.025	-0.139
t25	0.205	-2.538	0.158	-1.255	-1.334	-0.897	2.444	1.718	-1.008	0.7	0.608	1.432	-0.95	-0.91	-0.509	-0.999	-0.171	-0.219	0.408	-0.586	-0.476	0.56	0.198	0.754	-0.76	2.446	0.268	0.188	0.534	-0.008
t49	1.169	-1.306	-1.027	1.433	1.093	-1.543	-0.435	3.157	0.056	-1.436	-0.161	-0.244	0.695	-1.988	0.291	-0.697	-2.061	-0.585	0.02	1.102	0.169	0.955	0.481	-0.455	1.271	0.197	-0.147	0.04	0.136	-0.181
t36	0.4	-0.149	-0.744	0.542	1.11	-0.677	-2.205	1.017	0.319	1.717	-0.299	-0.462	0.189	-2.035	-0.325	-0.056	-2.049	-0.889	0.121	1.668	1.095	0.205	0.582	-0.07	1.252	-1.872	-0.071	0.26	0.992	0.438
t15	-0.773	-1.989	0.113	0.326	-0.597	-0.475	1.735	1.977	0.157	1.092	0.449	-0.659	0.061	0.07	0.232	-0.838	0.133	-0.444	-0.592	-0.552	0.756	-0.232	0.026	-0.048	0.386	0.275	0.383	-0.244	0.246	-0.975
t14	0.077	-0.644	-1.046	0.378	-4.808	-0.566	0.525	1.849	-0.472	0.514	0.144	-0.854	0.419	-0.047	-0.778	-0.273	0.454	-0.784	0.685	0.484	-0.107	-1.433	-0.168	0.334	2.509	1.82	0.422	0.249	1.344	-0.227
t45	-0.126	-0.356	-0.33	0.234	-2.273	-0.94	0.577	1.402	0.027	0.216	0.013	-2.025	0.973	-0.805	-0.023	0.867	-0.878	0.136	0.585	0.327	0.11	0.867	0.143	0.435	1.105	-2.492	0.394	0.219	1.281	0.335
t18	-0.042	2.273	-1.17	0.072	-0.309	-1.682	-0.636	1.1	0.47	-2.793	-0.659	-1.423	0.21	-0.637	2.083	1.827	-1.133	-0.222	-0.575	2.008	-1.294	1.902	-0.782	-0.039	0.408	1.663	0.175	-0.347	-0.159	-0.286
t20	0.093	-0.909	0.046	-0.337	2.962	0.491	0.886	2.261	-0.128	-1.444	-0.135	-0.065	-0.785	0.08	0.109	0.029	-0.9	-1.273	-0.376	-0.598	0.525	-0.236	-0.332	-0.182	0.069	1.661	0.147	-0.145	-0.412	-1.101
t47	-1.462	-1.577	-0.372	0.526	-2.653	0.047	1.051	-0.93	0.137	1.242	-0.114	0.617	-0.026	0.095	0.563	0.308	0.275	-0.274	-0.085	-0.01	1.483	0.773	-0.17	-0.133	0.654	0.632	0.099	-0.146	-0.028	-0.524
t23	-2.329	-1.318	-0.595	-0.315	-1.537	2.138	1.218	0.207	-0.897	-0.787	0.286	0.92	0.141	0.432	-0.05	-0.361	0.724	-0.7	-0.195	0.368	0.766	0.075	-0.537	-0.192	0.827	1.26	-0.274	-0.046	1.047	-0.276
t33	1.37	-2.225	-1.333	0.5	-0.362	-0.672	-0.606	2.935	-0.033	-0.671	-0.927	-1.226	0.773	-1.089	-0.123	0.248	-0.357	-0.611	0.152	-0.305	0.063	2.319	0.297	0.404	1.003	0.433	-0.129	-0.02	-0.061	0.252
t10	-0.72	-1.334	-0.444	0.742	-2.009	-1.092	0.973	4.084	-0.056	-0.941	-0.466	-1.297	1.478	-1.243	-1.027	1.234	-1.255	-0.641	-0.515	0.708	1.577	0.979	0.201	-0.23	0.412	1.116	-0.402	-0.296	0.735	-0.272
t6	-0.751	-2.738	0.642	-0.256	-0.465	-0.515	1.451	1.519	-0.26	-1.523	0.205	-1.434	0.171	-0.212	3.389	0.05	-1.83	0.034	-0.424	0.683	1.502	0.265	0.068	0.596	-0.946	-0.207	0.421	0.477	-0.356	0.445
t9	0.154	-1.125	-0.659	-0.209	1.375	1.118	1.312	0.097	-0.436	-0.454	0.204	-1.156	0.048	0.341	0.155	-0.167	-0.711	-0.698	-0.028	-0.261	-0.483	1.607	0.266	0.138	-2.136	2.619	-0.145	-0.381	-0.135	-0.248
t12	0.213	-1.055	-0.84	-1.101	2.041	-0.395	-1.194	-0.552	0.03	0.87	0.294	-1.199	-0.326	0.599	-0.954	-0.44	-0.222	-0.154	-0.031	1.386	-1.084	-0.516	-0.078	0.376	0.568	3.275	0.173	-0.099	0.934	-0.517
t4	-1.325	-0.675	0.282	0.034	-0.049	0.159	0.48	-0.514	0.159	-0.998	0.698	0.754	1.004	0.065	0.444	-0.93	0.589	-0.572	-0.31	-2.123	-0.194	0.036	-0.533	0.657	0.666	1.236	0.377	0.499	0.851	-0.767
t43	-2.362	-0.754	-1.121	-0.314	-0.564	-1.235	1.098	-0.376	0.029	-0.055	0.176	1.725	-0.469	0.519	1.601	0.321	-0.856	0.4	0.575	-1.143	0.554	0.936	-0.154	-0.165	-0.368	1.841	0.078	0.085	0.586	-0.588
t50	0.716	-0.402	-0.031	-0.356	0.372	-0.405	2.04	1.74	-1.123	-2.029	0.109	-0.024	0.368	-0.042	3.342	-0.721	0.027	-0.715	-0.481	-0.348	0.473	-0.458	0.055	-0.816	1.543	-1.155	-0.071	-0.506	0.291	-1.393
t21	-0.433	-0.182	-0.914	0.744	-1.508	0.271	2.24	2.216	-0.077	-2.407	-0.185	-0.342	1.122	0.352	1.342	-0.262	-0.732	-0.691	-0.252	-1.553	1.321	-0.061	-0.043	-0.103	-1.45	0.048	0.065	0.165	1.375	-0.065
t44	-0.297	-1.585	-1.745	0.722	-2.292	-1.263	-0.706	2.464	0.358	0.707	-0.319	0.08	1.438	-0.973	0.052	-0.25	-1.659	-0.314	0.998	-0.23	0.143	1.898	0.425	-0.295	1.451	0.406	0.152	0.116	0.437	0.08
t31	1.269	-1.739	-1.122	-0.106	-2.935	-1.247	0.05	0.348	0.276	-0.274	-0.662	0.477	0.904	-0.814	2.12	0.296	-1.047	-0.151	0.344	1.181	-0.68	0.43	0.218	0.277	1.167	0.12	0.494	0.39	0.059	0.358
t3	0.109	-1.404	-2.372	-0.181	-1.155	-1.371	-1.683	3.476	-0.607	-2.084	-0.166	0.694	0.892	-1.474	0.854	0.548	-1.047	-0.359	0.301	1.98	-0.12	0.964	0.421	0.518	1.395	1.149	0.337	0.302	0.389	-0.307
t19	-0.901	-1.84	-1.571	0.53	-1.866	0.816	-1.37	4.611	0.159	-0.935	-0.148	-0.834	0.516	-0.589	2.208	-0.051	0.355	-0.624	-0.164	1.048	0.059	0.844	-1.018	0.012	0.582	0.354	-0.254	-0.385	0.169	0.286
t17	-0.127	-1.726	0.283	0.392	-2.806	-0.159	-1.963	1.719	-0.67	1.82	-0.612	0.556	1.037	-0.107	0.951	-1.004	-0.326	-0.032	0.393	1.548	-0.531	-0.676	0.468	-0.219	0.946	0.268	-0.121	0.09	0.613	-0.005
t26	1.2	-1.234	-2.218	-0.307	-2.876	-0.188	-1.703	3.022	-0.555	3.983	-0.967	0.928	-0.024	-1.988	-0.527	0.073	1.727	0.044	-0.182	-0.937	-0.07	1.143	0.365	-0.265	1.605	0.496	0.076	-0.341	0.199	-0.478
t39	0.222	-0.752	-0.665	0.048	-4.301	-1.66	-0.919	3.142	0.457	0.567	-0.838	0.295	0.894	-1.292	1.124	-1.435	-0.466	-0.841	0.18	1.342	0.6	0.684	0.189	-0.062	3.025	1.359	-0.063	-0.19	-0.323	-0.32
t32	-1.013	0.447	-0.777	0.371	-0.482	-2.209	0.199	3.959	0.125	-1.959	-1.092	-2.759	0.798	-0.206	-2.352	1.269	1.113	0.569	0.267	0.988	0.518	1.753	-0.397	0.13	-0.105	1.042	0.121	-0.177	0.456	-0.596
t8	0.956	0.671	-0.666	0.146	-0.701	-0.887	0.935	1.662	-0.176	-1.131	-1.149	-3.581	0.226	0.079	1.779	1.267	-0.452	-0.183	-0.457	1.182	-1.737	0.857	-0.364	-0.368	1.518	0.908	-0.062	-0.457	0.61	-0.426
t35	0.234	-0.202	-0.154	0.565	-0.702	-0.214	1.269	0.366	0.376	1.978	0.181	-4.159	0.897	-0.705	-0.597	0.52	-0.043	0.859	0.296	0.315	0.885	1.071	-0.5	-0.45	0.589	-2.309	0.191	-0.229	0.298	-0.624
t40	-0.899	-0.703	-0.686	0.078	1.106	0.395	0.212	0.769	-0.842	0.034	-0.228	0.054	0.441	1.217	1.087	-0.476	-1.228	-1.079	0.239	1.342	0.487	-0.526	0.097	-0.22	0.476	0.048	-0.104	-0.239	0.306	-1.159
t7	-0.506	-0.629	0.434	0.696	-2.163	-0.748	-0.153	2.988	0.415	0.429	-1.044	-3.294	1.593	-0.174	0.897	-0.13	0.781	-0.166	-0.382	1.725	0.013	0.843	-0.417	-0.475	1.129	-1.537	0.039	-0.114	-0.085	0.036
t24	0.014	0.467	0.011	-0.385	-0.913	-2.47	1.091	0.858	0.562	1.286	-0.369	-3.146	1.37	-0.507	-0.302	-0.01	0.701	0.249	0.684	2.011	2.274	0.477	-0.615	-0.262	0.434	-2.401	0.184	-0.201	-0.273	-0.819
t16	-0.617	-1.218	-0.448	-0.079	2.264	-1.58	1.635	2.329	-0.774	-0.545	0.154	-1.148	0.499	1.209	1.199	0.812	0.381	-0.111	-0.731	-1.192	0.68	-1.843	0.071	-0.217	0.712	-1.591	0.323	-0.029	0.311	-0.458
t2	0.827	-2.065	-0.097	0.048	0.049	0.394	0.964	-0.068	-0.266	-0.199	0.078	0.153	0.79	0.686	1.408	-0.825	0.769	0.309	0.07	-2.648	0.878	-0.993	0.142	-0.466	-0.065	0.409	0.182	-0.038	0.513	-0.94
t28	0.179	-1.74	-1.582	0.004	0.565	0.681	-0.535	1.58	0.286	1.213	-0.42	0.375	0.796	-0.816	1.4	-1.479	0.132	-1.229	-0.443	0.359	0.74	0.584	-0.168	0.223	-0.081	1.224	-0.338	-0.234	-0.24	-1.034
t5	-1.563	-2.26	-0.964	-0.63	-0.656	-0.631	-0.816	1.745	0.03	1.118	0.703	0.008	0.599	-1.041	1.205	1.054	-0.547	-0.487	0.331	-0.018	-0.277	0.58	0.007	0.439	0.838	0.401	0.001	-0.022	1.355	-0.502
t46	0.12	-0.125	-0.631	-0.768	-1.629	1.217	-0.373	2.454	-0.526	-2.879	-0.08	-1.012	-0.023	1.642	0.586	-0.289	-0.057	-0.014	-0.464	0.944	1.483	0.212	-0.341	-0.163	1.088	-0.082	-0.05	0.015	1.526	-1.78
t29	0.19	-0.616	-0.532	0.023	0.272	0.403	0.846	2.749	-1.247	-1.148	-0.159	-0.124	0.808	0.739	0.871	-0.898	-0.401	-0.335	-0.158	0.745	-0.438	-0.258	0.016	-0.288	0.112	0.44	-0.273	-0.22	0.315	-1.435
t27	-1.478	-1.185	-1.561	-0.163	1.786	2.859	0.991	3.825	-0.063	-0.778	0.385	0.909	-0.652	0.162	0.959	1.363	0.444	-0.642	-0.024	-3.452	-1.164	-1.209	0.349	0.302	-0.767	-1.586	0.183	0.134	0.277	-0.206
t42	-1.584	-1.929	-1.617	-0.149	0.743	-0.263	0.156	2.868	-0.222	0.064	0.008	0.675	0.6	0.785	-3.014	1.05	-0.126	-0.673	0.502	0.084	0.084	-0.635	0.292	0.214	-0.036	1.659	0	0.172	0.548	-0.26
t22	-0.533	-2.364	-0.346	-0.334	-0.5	1.046	1.227	0.779	-0.182	-1.264	0.242	0.375	-0.167	-0.941	0.619	0.162	0.732	0.148	0.19	-1.663	0.001	0.214	-0.361	0.668	-0.714	1.771	0.068	0.399	1.165	-0.438
t1	-1.304	-2.963	-0.03	-1.348	-0.029	-0.716	1.007	0.626	-0.674	-3.107	0.518	0.827	-0.275	-1.301	1.521	0.677	-0.464	0.701	-0.029	2.151	0.341	0.958	-0.069	0.553	0.003	1.628	-0.19	0.093	0.392	0.502
