feature	pagel_lam_mle	pagel_lam_sim	pagel_lam_sim_source	pagel_lam_sim_spec	pagel_lam_sim_alpha	pagel_lam_sim_beta	pagel_lam_mode	pagel_lam_mode_requested
feature_1	0.497696263120047	0.702	beta	beta:10,10	10	10	global	global
feature_2	0.497696263120047	0.765	beta	beta:10,10	10	10	global	global
feature_3	0.497696263120047	0.494	beta	beta:10,10	10	10	global	global
feature_4	0.497696263120047	0.555	beta	beta:10,10	10	10	global	global
feature_5	0.497696263120047	0.575	beta	beta:10,10	10	10	global	global
feature_6	0.497696263120047	0.398	beta	beta:10,10	10	10	global	global
feature_7	0.497696263120047	0.576	beta	beta:10,10	10	10	global	global
feature_8	0.497696263120047	0.521	beta	beta:10,10	10	10	global	global
feature_9	0.497696263120047	0.461	beta	beta:10,10	10	10	global	global
feature_10	0.497696263120047	0.242	beta	beta:10,10	10	10	global	global
feature_11	0.497696263120047	0.387	beta	beta:10,10	10	10	global	global
feature_12	0.497696263120047	0.697	beta	beta:10,10	10	10	global	global
feature_13	0.497696263120047	0.652	beta	beta:10,10	10	10	global	global
feature_14	0.497696263120047	0.678	beta	beta:10,10	10	10	global	global
feature_15	0.497696263120047	0.51	beta	beta:10,10	10	10	global	global
feature_16	0.497696263120047	0.357	beta	beta:10,10	10	10	global	global
feature_17	0.497696263120047	0.355	beta	beta:10,10	10	10	global	global
feature_18	0.497696263120047	0.566	beta	beta:10,10	10	10	global	global
feature_19	0.497696263120047	0.273	beta	beta:10,10	10	10	global	global
feature_20	0.497696263120047	0.37	beta	beta:10,10	10	10	global	global
feature_21	0.497696263120047	0.426	beta	beta:10,10	10	10	global	global
feature_22	0.497696263120047	0.45	beta	beta:10,10	10	10	global	global
feature_23	0.497696263120047	0.362	beta	beta:10,10	10	10	global	global
feature_24	0.497696263120047	0.626	beta	beta:10,10	10	10	global	global
feature_25	0.497696263120047	0.462	beta	beta:10,10	10	10	global	global
feature_26	0.497696263120047	0.456	beta	beta:10,10	10	10	global	global
feature_27	0.497696263120047	0.386	beta	beta:10,10	10	10	global	global
feature_28	0.497696263120047	0.581	beta	beta:10,10	10	10	global	global
feature_29	0.497696263120047	0.454	beta	beta:10,10	10	10	global	global
feature_30	0.497696263120047	0.656	beta	beta:10,10	10	10	global	global
