feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t33	0.054	0.052	-0.282	-0.095	-0.269	-0.045	-0.091	1.01	0.035	-0.051	-0.279	-0.187	0.232	0.317	-0.037	0.032	0.124	-0.089	0.247	0.17	0.221	-0.034	0.066	-0.366	-0.372	0.18	-0.078	-0.18	-0.21	-0.075
t19	-0.295	-0.041	-0.135	-0.107	-0.331	-0.061	-0.122	0.997	-0.123	-0.077	-0.281	-0.222	0.585	0.102	-0.271	-0.04	0.067	0.189	0.305	-0.044	0.552	0.074	0.051	0.064	-0.403	0.069	0.031	-0.165	-0.069	-0.298
t26	-0.231	-0.06	-0.314	-0.513	-0.354	-0.196	0.014	0.723	0.164	-0.112	-0.263	0.147	0.287	-0.311	0.187	-0.142	0.179	0.098	0.245	-0.011	0.932	-0.067	-0.121	0.274	-0.074	0.027	-0.113	-0.255	0.145	-0.285
t1	-0.048	-0.069	0.04	-0.518	-0.301	-0.131	-0.016	0.684	-0.051	0.024	-0.194	-0.038	0.44	0.241	-0.242	-0.122	0.205	0.19	0.148	-0.161	0.348	-0.073	0.143	0.38	-0.186	-0.029	-0.112	0.111	-0.378	-0.285
t44	-0.274	0.009	0.085	-0.422	0.087	-0.07	-0.063	0.619	0.025	-0.092	-0.155	-0.208	0.61	-0.205	0.014	-0.158	-0.001	0.022	-0.055	0.148	0.431	0.154	-0.188	0.047	-0.237	0.22	-0.18	-0.186	0.219	-0.195
t15	-0.138	-0.033	-0.045	-0.433	0.089	-0.081	-0.071	1.105	-0.1	-0.17	-0.235	-0.057	0.245	0.06	0.104	-0.201	0.22	0.037	0.228	0.167	0.25	0.074	-0.028	0.446	-0.16	-0.12	-0.115	-0.417	-0.411	-0.213
t25	0.267	0.032	-0.238	-0.733	-0.205	-0.02	-0.181	1.195	-0.076	-0.075	-0.337	-0.36	0.399	0.058	-0.339	-0.048	0.307	0.02	0.306	-0.106	0.68	0.027	0.197	0.4	-0.346	-0.026	-0.111	-0.346	0.038	-0.379
t36	-0.068	-0.07	0.028	-0.652	-0.326	-0.044	-0.235	0.941	-0.044	-0.167	-0.31	-0.156	0.587	0.231	0.221	-0.057	0.078	0.028	0.004	-0.082	1.015	0.06	0.187	-0.296	-0.198	0.144	0.028	-0.201	-0.37	-0.276
t9	-0.256	-0.022	0.008	-0.296	0.164	-0.093	-0.193	1.151	0.213	-0.121	-0.386	-0.37	0.144	0.338	0.05	-0.119	0.306	0.004	-0.215	0.062	0.106	0.002	0.062	0.337	-0.429	-0.062	-0.079	-0.073	-0.148	-0.087
t18	-0.303	-0.068	0.336	-0.362	-0.293	-0.145	-0.133	1.266	-0.121	-0.115	-0.238	-0.159	0.51	0.17	-0.031	-0.057	0.092	-0.008	0.16	-0.109	0.252	-0.059	0.216	-0.209	-0.034	-0.158	-0.124	-0.126	0.031	-0.182
