feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	-5.903	-4.526	-4.083	-3.869	-3.797	-2.148	-4.403	-8.088	-3.608	-5.057	-3.36	-6.459	-3.911	-2.858	-4.017	-4.107	-4.228	-4.144	-4.135	-3.412	-3.833	-3.652	-4.198	-3.977	-3.641	-4.733	-4.441	-4.42	-0.986	-3.782
t32	-8.148	-3.928	-3.768	-4.066	-3.399	-3.963	-6.426	-3.21	-2.937	-2.974	-2.944	-1.956	-3.799	-3.424	-4.034	-3.911	-4.063	-2.089	-5.112	-3.266	-5.048	-4.559	-4.213	-2.946	-2.287	-3.94	-4.99	-4.152	-4.855	-3.385
t2	-3.333	-3.583	-4.236	-4.308	-4.204	-0.54	-4.105	-6.435	-3.745	-4.509	-4.182	-4.007	-4.899	-4.402	-4.323	-4.477	-4.116	-5.847	-3.6	-3.32	-5.528	-4.49	-3.854	-5.345	-4.197	-4.169	-4.821	-4.994	-6.291	-4.659
t15	-1.693	-2.102	-3.721	-3.44	-3.478	-3.544	-5.694	-4.76	-4.115	-3.178	-3.511	-4.757	-4.77	-3.706	-3.771	-3.535	-3.892	-5.359	-4.416	-3.767	-4.001	-5.72	-2.688	-3.611	-3.594	-3.515	-2.629	-3.723	-3.779	-3.482
t19	-6.372	-3.412	-3.812	-3.954	-4.097	-5.106	-2.256	-5.327	-2.926	-3.421	-2.942	-6.277	-3.905	-3.372	-3.674	-3.841	-3.612	-1.631	-4.582	-2.415	-3.837	-3.502	-3.001	-3.923	-4.773	-4.251	-3.767	-4.031	-4.295	-3.548
t28	-3.499	-2.508	-3.72	-3.726	-3.05	-3.104	-4.788	-4.244	-3.715	-2.705	-3.11	-4.701	-3.531	-3.73	-3.548	-3.75	-3.127	-3.609	-2.136	-3.653	-3.601	-4.095	-4.201	-2.764	-4.558	-3.12	-3.787	-3.613	-4.597	-3.758
t49	-6.234	-2.186	-3.672	-3.436	-3.734	-3.969	-3.583	-2.242	-3.628	-3.329	-3.846	-4.467	-3.674	-3.581	-3.43	-3.534	-3.932	-2.89	-4.243	-3.974	-5.138	-3.531	-2.745	-4.76	-2.351	-3.537	-4.532	-3.881	-3.874	-3.03
t40	-5.363	-2.408	-3.491	-3.255	-3.009	-3.939	-2.965	-3.829	-2.963	-4.148	-2.697	-5.322	-3.285	-2.498	-3.501	-3.153	-3.233	-5.476	-3.865	-3.92	-4.442	-5.002	-3	-3.901	-3.621	-4.058	-3.053	-3.558	-3.395	-3.335
t24	-4.782	-3.491	-4.569	-4.753	-4.263	-5.434	-5.599	-0.616	-3.844	-4.695	-3.737	-2.116	-3.95	-4.163	-4.849	-4.391	-4.496	-5.312	-5.514	-5.378	-5.523	-5.175	-5.01	-3.092	-3.434	-5.379	-5.065	-4.507	-5.591	-5.155
t4	-4.633	-4.45	-4.374	-4.519	-3.596	-7.121	-1.745	-1.659	-4.697	-3.411	-4.627	-6.856	-4.198	-4.804	-4.453	-4.418	-4.458	-5.839	-4.781	-2.942	-5.134	-6.221	-5.112	-4.546	-3.737	-3.606	-4.408	-4.149	-1.291	-4.839
t30	-7.219	-2.805	-3.962	-4.38	-4.366	-7.334	-4.793	-4.928	-4.405	-3.936	-3.332	-3.915	-4.321	-3.793	-4.099	-4.188	-3.53	-4.542	-5.02	-3.468	-3.483	-3.807	-5.207	-4.328	-2.104	-4.201	-5.84	-3.903	-0.917	-4.244
t50	-6.894	-4.751	-5.189	-5.179	-5.372	-0.222	-4.131	-4.449	-5.056	-5.634	-5.59	-5.24	-5.194	-4.949	-5.047	-5.221	-5.681	-7.377	-5.575	-5.135	-4.647	-4.718	-4.428	-4.476	-4.358	-4.911	-5.317	-5.414	-5.232	-4.434
t41	-6.701	-3.483	-4.547	-4.364	-4.423	-5.348	-8.138	-4.182	-4.2	-4.663	-4.624	-5.904	-4.578	-4.141	-4.363	-4.508	-4.18	-4.198	-4.48	-4.992	-2.307	-4.061	-2.879	-0.85	-2.436	-4.296	-4.141	-4.5	-3.456	-4.068
t46	-4.928	-4.602	-3.569	-3.75	-3.555	-3.855	-5.799	-3.037	-2.378	-3.888	-3.551	-4.36	-4.807	-4.71	-3.573	-3.491	-3.84	-3.161	-2.741	-4.074	-4.51	-4.393	-3.349	-1.838	-2.007	-3.575	-4.346	-4.114	-4.945	-3.273
t12	-5.968	-3.987	-4.295	-4.022	-4.047	-7.62	-5.362	-4.278	-4.914	-3.459	-4.452	-2.759	-4.207	-4.533	-4.155	-3.952	-3.865	-7.036	-3.094	-4.872	-3.068	-5.787	-4.33	-5.562	-4.423	-3.994	-2.59	-3.951	-0.78	-4.414
t23	-2.835	-1.958	-4.275	-3.814	-3.88	-1.057	-6.301	-3.011	-3.952	-3.908	-3.238	-4.465	-4.974	-3.069	-4.03	-4.18	-4.287	-5.478	-4.935	-3.212	-5.114	-4.14	-4.044	-5.651	-4.139	-4.096	-5.435	-4.503	-5.896	-4.679
t39	-2.108	-4.423	-4.209	-4.313	-4.352	-3.225	-6.171	-4.75	-4.096	-3.337	-4.652	-4.672	-5.746	-5.119	-4.21	-4.203	-4.32	-4.946	-4.887	-4.207	-4.39	-4.286	-3.421	-5.079	-3.038	-4.397	-4.082	-4.606	-0.783	-4.358
t6	-4.897	-3.401	-3.38	-4.071	-3.525	-3.268	-3.447	-2.503	-3.595	-4.096	-3.885	-2.322	-3.715	-2.782	-3.508	-3.397	-3.911	-3.751	-4.015	-4.979	-2.588	-3.566	-3.349	-3.654	-3.958	-3.263	-3.807	-3.746	-3.213	-3.27
t22	-4.997	-3.9	-3.789	-4.117	-3.624	-6.228	-8.073	-5.135	-4.17	-3.739	-3.678	-1.87	-4.413	-4.39	-3.899	-3.797	-3.822	-4.677	-5.323	-3.587	-2.668	-2.582	-3.796	-2.455	-4.316	-4.353	-3.901	-3.32	-1.711	-3.407
t17	-7.555	-3.926	-3.974	-3.478	-3.719	-5.36	-4.584	-3.884	-4.454	-3.136	-3.542	-3.864	-4.308	-3.595	-3.463	-3.679	-3.86	-5.973	-5.407	-3.283	-3.637	-4.393	-3.329	-3.754	-4.449	-3.946	-4.238	-3.764	-0.888	-3.719
t34	-1.891	-3.574	-4.127	-4.512	-3.482	-5.966	-2.609	-4.994	-4.38	-3.62	-4.211	-7.831	-3.882	-2.807	-3.974	-3.893	-3.312	-5.432	-5.168	-3.041	-2.018	-5.106	-4.067	-2.141	-3.003	-4.386	-4.258	-4.062	-3.492	-4.296
t42	-5.387	-4.437	-3.611	-3.982	-3.479	-5.202	-5.533	-3.255	-3.194	-3.629	-3.658	-6.539	-3.524	-2.028	-3.591	-3.58	-3.097	-3.098	-4.187	-4.277	-4.704	-2.983	-2.64	-5.887	-2.815	-4.069	-5.538	-3.718	-2.082	-2.742
t8	-4.742	-4.631	-3.53	-4.033	-3.586	-5.778	-6.7	-2.313	-3.558	-3.135	-3.907	-4.413	-3.342	-4.548	-3.746	-3.517	-3.511	-2.5	-4.902	-4.033	-3.876	-2.333	-3.793	-3.77	-2.478	-3.912	-4.294	-3.553	-2.015	-3.907
t38	-5.148	-3.098	-3.903	-3.625	-4.034	-5.013	-7.673	-2.023	-4.009	-4.494	-3.793	-3.419	-4.583	-4.142	-4.014	-3.776	-4.156	-2.044	-4.967	-3.026	-3.515	-3.284	-3.834	-2.239	-3.625	-3.715	-2.22	-4.48	-3.94	-4.966
t35	-7.127	-2.622	-3.989	-3.625	-3.55	-3.412	-6.201	-5.561	-3.695	-3.54	-3.836	-2.441	-3.599	-4.114	-3.688	-3.755	-3.935	-3.457	-3.461	-3.671	-2.099	-3.541	-4.066	-3.962	-1.876	-3.578	-3.499	-4.34	-3.72	-4.198
t29	-4.894	-3.909	-4.65	-4.878	-4.406	-7.848	-4.527	-3.929	-4.364	-4.085	-3.741	-3.499	-3.958	-4.57	-4.399	-4.468	-4.36	-5.437	-4.698	-5.685	-6.063	-6.242	-3.818	-0.614	-2.14	-4.445	-4.288	-4.532	-4.305	-4.516
t25	-4.395	-5.327	-4.923	-4.915	-4.504	-2.035	-2.507	-1.862	-4.853	-4.366	-3.807	-5.316	-3.76	-5.126	-4.877	-4.864	-4.81	-5.769	-4.981	-5.339	-4.399	-4.135	-3.306	-1.551	-2.77	-4.609	-2.509	-4.722	-4.567	-3.726
t20	-1.327	-3.592	-3.868	-3.41	-3.91	-3.539	-4.436	-4.166	-3.019	-3.139	-3.086	-4.786	-4.921	-2.647	-3.737	-3.837	-4.283	-3.166	-4.561	-4.39	-4.301	-5.216	-2.706	-4.539	-3.241	-4.1	-4.154	-3.671	-4.062	-4.027
t16	-7.514	-2.657	-4.086	-3.829	-4.109	-6.242	-5.553	-6.683	-4.014	-2.744	-4.664	-4.845	-3.954	-4.681	-4.014	-3.961	-3.503	-2.611	-4.389	-3.765	-3.728	-4.284	-4.73	-3.498	-4.9	-3.611	-4.66	-3.85	-0.967	-3.205
t7	-6.854	-4.018	-3.538	-3.421	-3.645	-6.747	-3.661	-2.644	-3.852	-2.948	-4.508	-3.454	-4.023	-3.4	-3.345	-3.381	-3.426	-4.297	-5.166	-2.327	-2.871	-3.291	-3.683	-3.011	-3.957	-3.099	-4.689	-3.103	-2.483	-3.25
t21	-1.283	-3.627	-4.474	-4.354	-4.494	-6.492	-5.505	-2.408	-3.98	-4.586	-4.443	-5.327	-5.094	-3.535	-4.465	-4.43	-3.954	-3.574	-4.882	-4.282	-4.522	-5.627	-4.026	-5.202	-1.537	-5.042	-4.875	-4.417	-2.364	-3.944
t13	-6.469	-5.402	-5.242	-5.274	-4.642	-5.675	-5.146	-3.476	-4.96	-4.177	-4.991	-4.491	-5.651	-4.021	-5.191	-4.975	-5.296	-5.274	-6.002	-5.088	-5.485	-5.561	-5.597	-0.381	-2.328	-5.569	-3.718	-4.846	-4.491	-6.632
t37	-5.906	-2.698	-3.517	-3.679	-3.776	-1.763	-2.533	-3.382	-3.792	-3.339	-3.893	-3.293	-3.143	-3.342	-3.501	-3.588	-3.585	-3.527	-4.488	-3.97	-3.712	-3.855	-4.453	-4.345	-4.056	-3.637	-3.747	-3.291	-3.438	-3.853
t18	-4.72	-3.371	-3.392	-3.477	-3.976	-8.264	-3.191	-6.045	-3.897	-1.773	-3.317	-6.148	-3.627	-2.906	-3.477	-3.376	-3.55	-5.148	-3.45	-2.551	-3.809	-3.334	-3.579	-3.034	-3.486	-3.18	-4.31	-3.78	-3.287	-3.482
t11	-2.901	-3.395	-3.844	-3.486	-3.346	-1.595	-6.293	-5.306	-3.757	-3.23	-4.146	-7.06	-3.884	-3.742	-3.937	-3.914	-3.77	-4.287	-3.042	-4.231	-3.255	-5.051	-3.694	-2.463	-4.632	-3.923	-4.289	-4.136	-2.084	-4.305
t36	-2.792	-3.961	-3.812	-3.257	-3.791	-2.117	-5.126	-6.84	-4.262	-3.193	-2.642	-4.836	-2.933	-3.817	-3.701	-3.677	-3.32	-2.038	-2.971	-4.856	-4.62	-4.959	-3.648	-3.874	-5.045	-3.453	-2.92	-3.796	-4.114	-3.525
t9	-4.271	-3.878	-3.557	-3.035	-3.692	-3.864	-5.838	-3.926	-3.848	-3.068	-3.124	-4.847	-4.856	-3.116	-3.67	-3.663	-3.355	-2.199	-2.8	-2.506	-3.507	-5.984	-4.548	-2.386	-2.686	-3.486	-5.039	-3.74	-5.36	-3.212
t48	-3.586	-2.625	-3.826	-3.66	-3.53	-3.681	-3.575	-1.89	-3.744	-2.887	-3.605	-6.12	-4.232	-3.229	-3.871	-3.858	-3.513	-4.694	-2.961	-3.426	-4.297	-5.231	-3.565	-4.789	-2.132	-3.238	-5.208	-3.567	-5.621	-3.221
t5	-3.41	-3.572	-3.609	-3.243	-3.664	-3.708	-3.128	-3.611	-3.135	-2.796	-3.259	-4.667	-5.022	-4.133	-3.671	-3.936	-4.17	-2.05	-5.384	-4.03	-2.366	-6.43	-3.786	-6.79	-3.644	-3.74	-5.243	-4.358	-2.003	-3.146
t1	-1.986	-1.628	-3.908	-3.577	-3.762	-4.013	-5.103	-3.354	-4.144	-3.067	-2.914	-4.029	-5.531	-4.047	-3.579	-4.039	-4.349	-3.633	-5.964	-3.729	-2.504	-7.075	-4.629	-6.322	-4.143	-3.697	-5.691	-4.198	-2.35	-3.905
t47	-1.813	-2.708	-4.17	-4.206	-4.039	-2.796	-6.262	-1.592	-3.904	-3.266	-3.634	-5.262	-4.755	-3.537	-3.999	-4.133	-3.602	-4.134	-4.197	-2.517	-5.659	-4.933	-4.479	-4.995	-4.028	-4.016	-5.155	-4.392	-2.865	-4.226
t43	-2.089	-5.444	-4.429	-4.657	-4.105	-0.711	-7.652	-3.34	-3.791	-4.443	-3.33	-3.296	-5.224	-4.277	-4.221	-4.715	-4.149	-4.163	-6.175	-4.262	-4.8	-4.94	-3.264	-7.855	-4.818	-4.694	-5.885	-4.457	-4.813	-4.162
t3	-7.094	-5.428	-4.931	-5.055	-4.213	-3.68	-5.835	-2.005	-4.161	-4.594	-4.868	-1.697	-4.727	-3.952	-4.624	-4.738	-5.125	-3.421	-4.445	-5.048	-4.297	-5.568	-4.559	-2.029	-1.591	-4.63	-3.015	-5.004	-3.383	-3.865
t45	-6.488	-3.357	-4.493	-3.894	-4.395	-4.308	-4.863	-5.487	-4.851	-4.211	-4.3	-3.714	-4.454	-4.261	-4.326	-4.352	-4.708	-4.724	-4.752	-4.532	-3.934	-4.842	-4.256	-0.564	-2.816	-4.525	-3.58	-4.896	-4.525	-4.049
t44	-7.917	-5.561	-6.227	-6.254	-6.211	-6.272	-8.004	-9.09	-6.534	-5.889	-5.221	-5.886	-5.841	-5.533	-6.071	-6.266	-6.216	-4.892	-6.716	-4.98	-6.294	-5.587	-6.021	-0.083	-6.11	-6.252	-6.737	-6.163	-4.832	-5.845
t27	-3.256	-4.459	-3.844	-4.003	-3.955	-3.645	-7.886	-4.637	-4.46	-3.333	-3.551	-6.448	-4.214	-3.583	-3.763	-3.935	-4.187	-1.978	-4.733	-3.907	-3.214	-3.718	-3.918	-1.249	-3.431	-3.59	-5.271	-3.809	-3.745	-3.587
t26	-6.618	-3.863	-3.676	-3.417	-3.526	-3.891	-4.334	-2.331	-3.678	-3.437	-3.619	-6.915	-3.67	-3.159	-3.484	-3.554	-3.458	-2.854	-4.353	-4.118	-3.803	-3.199	-4.302	-2.528	-3.702	-4.194	-5.03	-3.424	-1.786	-3.663
t31	-7.365	-2.575	-3.532	-3.566	-3.49	-5.183	-2.437	-2.485	-3.673	-2.423	-3.387	-5.123	-3.468	-2.858	-3.559	-3.381	-3.422	-4.53	-5.113	-3.22	-4.549	-3.387	-4.007	-4.08	-4.575	-3.417	-3.559	-3.243	-2.83	-4.172
t10	-6.566	-6.133	-5.561	-5.849	-5.456	-0.127	-6.344	-4.354	-6.195	-5.479	-5.867	-5.95	-6.428	-5.15	-5.541	-5.914	-6.15	-6.606	-7.067	-4.314	-6.775	-4.575	-5.03	-6.48	-4.771	-4.638	-7.301	-5.377	-7.289	-5.672
t33	-3.616	-4.605	-4.699	-4.573	-4.661	-0.557	-6.893	-4.257	-4.871	-4.027	-4.464	-5.515	-4.117	-3.407	-4.435	-4.836	-4.143	-2.99	-4.84	-3.667	-5.606	-2.913	-4.957	-4.775	-3.436	-4.492	-5.972	-5.115	-5.49	-4.999
