feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t14	0.01	0.036	0.03	0.032	0.036	0.049	0.013	0.013	0.038	0.031	0.043	0.012	0.027	0.05	0.032	0.031	0.03	0.03	0.021	0.04	0.03	0.027	0.035	0.043	0.055	0.026	0.022	0.026	0.095	0.036
t32	0.006	0.04	0.032	0.03	0.038	0.036	0.008	0.035	0.042	0.048	0.045	0.029	0.026	0.043	0.031	0.031	0.03	0.044	0.017	0.041	0.022	0.022	0.033	0.046	0.067	0.031	0.018	0.027	0.042	0.038
t2	0.016	0.048	0.033	0.032	0.036	0.073	0.017	0.02	0.041	0.037	0.039	0.023	0.025	0.038	0.033	0.032	0.034	0.022	0.027	0.044	0.023	0.027	0.042	0.038	0.055	0.032	0.023	0.025	0.035	0.033
t15	0.021	0.059	0.032	0.034	0.037	0.031	0.01	0.026	0.032	0.044	0.039	0.017	0.022	0.039	0.033	0.034	0.031	0.021	0.019	0.034	0.029	0.017	0.047	0.05	0.055	0.033	0.034	0.029	0.055	0.037
t19	0.009	0.046	0.032	0.031	0.033	0.028	0.022	0.022	0.043	0.043	0.047	0.012	0.026	0.043	0.034	0.032	0.034	0.047	0.019	0.05	0.031	0.027	0.044	0.043	0.039	0.029	0.026	0.028	0.046	0.036
t28	0.013	0.052	0.031	0.03	0.04	0.035	0.012	0.029	0.035	0.047	0.042	0.017	0.029	0.038	0.033	0.032	0.036	0.03	0.031	0.035	0.03	0.026	0.033	0.059	0.042	0.035	0.025	0.029	0.043	0.034
t49	0.009	0.06	0.031	0.034	0.034	0.036	0.016	0.043	0.034	0.042	0.036	0.018	0.026	0.039	0.034	0.033	0.03	0.033	0.02	0.033	0.022	0.025	0.044	0.034	0.067	0.033	0.021	0.027	0.048	0.039
t40	0.011	0.055	0.033	0.035	0.04	0.035	0.019	0.028	0.04	0.036	0.046	0.012	0.029	0.052	0.034	0.036	0.036	0.019	0.021	0.034	0.025	0.019	0.043	0.034	0.046	0.029	0.027	0.03	0.058	0.038
t24	0.016	0.051	0.031	0.029	0.036	0.029	0.012	0.075	0.039	0.038	0.044	0.033	0.03	0.042	0.03	0.032	0.032	0.024	0.017	0.029	0.023	0.022	0.032	0.051	0.059	0.025	0.02	0.029	0.041	0.03
t4	0.016	0.039	0.03	0.029	0.04	0.021	0.027	0.065	0.033	0.045	0.034	0.011	0.026	0.034	0.031	0.03	0.03	0.021	0.02	0.046	0.022	0.015	0.031	0.036	0.061	0.036	0.024	0.028	0.088	0.03
t30	0.008	0.054	0.031	0.029	0.031	0.02	0.012	0.027	0.033	0.037	0.045	0.022	0.024	0.041	0.031	0.03	0.035	0.028	0.018	0.038	0.032	0.027	0.029	0.037	0.086	0.029	0.016	0.028	0.09	0.032
t50	0.009	0.043	0.029	0.03	0.031	0.096	0.018	0.037	0.034	0.033	0.033	0.018	0.026	0.039	0.032	0.03	0.027	0.018	0.019	0.034	0.03	0.026	0.04	0.049	0.058	0.031	0.022	0.026	0.043	0.038
t41	0.009	0.048	0.028	0.03	0.032	0.027	0.006	0.029	0.033	0.035	0.033	0.012	0.024	0.039	0.031	0.029	0.032	0.029	0.02	0.03	0.046	0.026	0.048	0.078	0.068	0.03	0.023	0.027	0.064	0.035
t46	0.013	0.034	0.034	0.032	0.037	0.037	0.01	0.036	0.048	0.039	0.04	0.017	0.021	0.032	0.035	0.035	0.032	0.034	0.029	0.034	0.024	0.022	0.04	0.057	0.07	0.033	0.02	0.027	0.041	0.039
t12	0.012	0.043	0.031	0.033	0.036	0.019	0.011	0.034	0.031	0.044	0.036	0.031	0.026	0.036	0.033	0.034	0.034	0.016	0.031	0.028	0.037	0.017	0.038	0.029	0.051	0.032	0.038	0.029	0.099	0.033
t23	0.017	0.068	0.03	0.034	0.036	0.056	0.01	0.041	0.037	0.04	0.045	0.019	0.023	0.049	0.033	0.032	0.03	0.022	0.019	0.041	0.025	0.026	0.037	0.034	0.052	0.031	0.02	0.026	0.037	0.031
t39	0.025	0.038	0.031	0.03	0.033	0.037	0.009	0.028	0.035	0.048	0.034	0.017	0.018	0.03	0.032	0.031	0.031	0.026	0.019	0.035	0.027	0.024	0.042	0.034	0.066	0.029	0.025	0.026	0.107	0.032
