"taxon" "sample_id" "abundance" "species"
"1" "Abditibacteriota" "G_AL1" 0 "Amolops_loloensis"
"2" "Abditibacteriota" "G_AL2" 0 "Amolops_loloensis"
"3" "Abditibacteriota" "G_AL3" 0 "Amolops_loloensis"
"4" "Abditibacteriota" "G_AL4" 0 "Amolops_loloensis"
"5" "Abditibacteriota" "G_AL5" 0 "Amolops_loloensis"
"6" "Abditibacteriota" "G_AL6" 0 "Amolops_loloensis"
"7" "Abditibacteriota" "G_AM1" 0 "Amolops_mantzorum"
"8" "Abditibacteriota" "G_AM10" 0 "Amolops_mantzorum"
"9" "Abditibacteriota" "G_AM11" 0 "Amolops_mantzorum"
"10" "Abditibacteriota" "G_AM12" 0 "Amolops_mantzorum"
"11" "Abditibacteriota" "G_AM13" 0 "Amolops_mantzorum"
"12" "Abditibacteriota" "G_AM14" 0 "Amolops_mantzorum"
"13" "Abditibacteriota" "G_AM15" 0 "Amolops_mantzorum"
"14" "Abditibacteriota" "G_AM16" 0 "Amolops_mantzorum"
"15" "Abditibacteriota" "G_AM17" 0 "Amolops_mantzorum"
"16" "Abditibacteriota" "G_AM2" 0 "Amolops_mantzorum"
"17" "Abditibacteriota" "G_AM3" 0 "Amolops_mantzorum"
"18" "Abditibacteriota" "G_AM4" 0 "Amolops_mantzorum"
"19" "Abditibacteriota" "G_AM5" 0 "Amolops_mantzorum"
"20" "Abditibacteriota" "G_AM6" 0 "Amolops_mantzorum"
"21" "Abditibacteriota" "G_AM7" 0 "Amolops_mantzorum"
"22" "Abditibacteriota" "G_AM8" 0 "Amolops_mantzorum"
"23" "Abditibacteriota" "G_AM9" 0 "Amolops_mantzorum"
"24" "Abditibacteriota" "G_BG100" 0 "Bufo_gargarizans"
"25" "Abditibacteriota" "G_BG101" 0 "Bufo_gargarizans"
"26" "Abditibacteriota" "G_BG102" 0 "Bufo_gargarizans"
"27" "Abditibacteriota" "G_BG103" 0 "Bufo_gargarizans"
"28" "Abditibacteriota" "G_BG104" 0 "Bufo_gargarizans"
"29" "Abditibacteriota" "G_BG105" 0 "Bufo_gargarizans"
"30" "Abditibacteriota" "G_BG106" 0 "Bufo_gargarizans"
"31" "Abditibacteriota" "G_BG107" 0 "Bufo_gargarizans"
"32" "Abditibacteriota" "G_BG108" 0 "Bufo_gargarizans"
"33" "Abditibacteriota" "G_BG109" 0 "Bufo_gargarizans"
"34" "Abditibacteriota" "G_BG110" 0 "Bufo_gargarizans"
"35" "Abditibacteriota" "G_BG111" 0 "Bufo_gargarizans"
"36" "Abditibacteriota" "G_BG112" 0 "Bufo_gargarizans"
"37" "Abditibacteriota" "G_BG113" 0 "Bufo_gargarizans"
"38" "Abditibacteriota" "G_BG114" 0 "Bufo_gargarizans"
"39" "Abditibacteriota" "G_BG115" 0 "Bufo_gargarizans"
"40" "Abditibacteriota" "G_BG116" 0 "Bufo_gargarizans"
"41" "Abditibacteriota" "G_BG117" 0 "Bufo_gargarizans"
"42" "Abditibacteriota" "G_BG118" 0 "Bufo_gargarizans"
"43" "Abditibacteriota" "G_BG119" 0 "Bufo_gargarizans"
"44" "Abditibacteriota" "G_BG120" 0 "Bufo_gargarizans"
"45" "Abditibacteriota" "G_BG121" 0 "Bufo_gargarizans"
"46" "Abditibacteriota" "G_BG122" 0 "Bufo_gargarizans"
"47" "Abditibacteriota" "G_BG123" 0 "Bufo_gargarizans"
"48" "Abditibacteriota" "G_BG124" 0 "Bufo_gargarizans"
